Name,Annual growth in Services,Annual growth in Goods
Q1 2018,0.119967409,0.1125553592
Q2 2018,0.1351882649,0.1284917306
Q3 2018,0.1220504222,0.1238536177
Q4 2018,0.09704699997,0.100975858
Q1 2019,0.048654127,0.05713607432
Q2 2019,0.02895002884,0.01656452828
Q3 2019,0.02806442025,-0.01267210019
Q4 2019,0.02520415222,-0.0276390445
Q1 2020,0.0129031113,-0.03740898633
Q2 2020,-0.06243788956,-0.08367463104
Q3 2020,-0.1225328147,-0.08776246477
Q4 2020,-0.1595674528,-0.07436207296
Q1 2021,-0.1491034384,-0.01991024943
Q2 2021,-0.02952120298,0.1388176842
Q3 2021,0.08158436857,0.2175118259
Q4 2021,0.184642699,0.2677853761
Q1 2022,0.2443308435,0.2622792375
Q2 2022,0.2146852677,0.1816874368
Q3 2022,0.1889113418,0.1439667325
Q4 2022,0.1498920109,0.1
